L:lblSubtitle	Optymalizacja i kontrola systemu Windows — PcFixPro Italia
L:tabPerf	Wydajność
L:tabPrivacy	Prywatność
L:tabUi	Interfejs
L:tabNet	Sieć
L:tabStorage	Magazyn
L:ttlLatency	OPÓŹNIENIA I PLANOWANIE
L:chkMMCSS	MMCSS — responsywność gier i dźwięku
L:chkPriority	Planowanie CPU — priorytet dla pierwszego planu (0x26)
L:chkKernelMem	Pamięć jądra — bez stronicowania
L:chkKernelDpc	Jądro i opóźnienia DPC
L:chkTimer	Zegar systemowy — maksymalna precyzja
L:chkPowerThrottling	Power Throttling — wyłącz
L:chkUSBSuspend	Selektywne wstrzymywanie USB — wyłącz
L:chkNtfsPerf	NTFS — bez daty ostatniego dostępu, duża pamięć podręczna
L:ttlRam	PAMIĘĆ
L:chkRamTweak	Próg podziału SvcHost (według RAM)
L:lblRamInstalled	Zainstalowana pamięć RAM:
L:lblRamHint	Wykrywana automatycznie przy starcie; można zmienić ręcznie.
L:ttlGraphics	GRAFIKA I GRY
L:chkGameMode	Tryb gry — włącz
L:chkFSO	Optymalizacje pełnoekranowe (FSO) — wyłącz
L:chkGameDVR	Game DVR i nagrywanie Xbox — wyłącz
L:chkHAGS	Sprzętowo przyspieszone planowanie GPU — włącz
L:chkVisualFX	Efekty wizualne — dopasuj dla najlepszej wydajności
L:chkApplyMPO	Zastosuj ustawienie Multiplane Overlay (MPO)
L:mpoOn	Włączone (domyślne w Windows)
L:mpoOff	Wyłączone (usuwa przycięcia i migotanie)
L:mpoCompat	Włączone, zgodne (2 płaszczyzny)
L:ttlRisky	ZAAWANSOWANE — OBNIŻAJĄ BEZPIECZEŃSTWO
L:lblRiskyHint	Pomijane przez «Zaznacz wszystko». Włączaj tylko, jeśli znasz skutki.
L:chkVBS	VBS / Integralność pamięci — wyłącz
L:chkMitigations	Systemowe zabezpieczenia przed exploitami — wyłącz
L:tabPower	Zasilanie
L:tabGpu	Karta graficzna
L:ttlPlans	PLANY ZASILANIA
L:btnRefreshPlans	Odśwież
L:btnRemoveTestPlans	Usuń plany testowe
L:ttlSleep	OSZCZĘDZANIE I UŚPIENIE
L:lblSleepHint	Stosowane przyciskiem Zastosuj.
L:ttlPlanWarn	ZANIM SPRÓBUJESZ
L:lblPlanWarn	Plany z grupy «Do przetestowania» pochodzą od innych autorów. Testuj po jednym i wróć do planu Zrównoważony, jeśli komputer działa niestabilnie.
L:ttlGpuDetected	WYKRYTA KARTA
L:btnDetectGpu	Odśwież
L:lblGpuHint	Tu odchudza się już zainstalowany sterownik: telemetria, dodatkowe usługi i autostart.
L:ttlGpuCommon	USTAWIENIA WSPÓLNE
L:chkGpuTdr	TDR — limit czasu sterownika 10 s
L:chkGpuMsi	Przerwania MSI dla karty graficznej — włącz
L:lblNvidiaHint	Pomijane, jeśli karta nie jest NVIDIA.
L:chkNvTelemetry	Telemetria NVIDIA — wyłącz
L:chkNvGfe	GeForce Experience w tle — wyłącz
L:chkNvPerfMode	Zarządzanie energią GPU — maksymalna wydajność
L:chkNvUpdates	Sprawdzanie aktualizacji sterownika NVIDIA — wyłącz
L:lblAmdHint	Pomijane, jeśli karta nie jest AMD.
L:chkAmdUx	Program doświadczeń użytkownika AMD — wyłącz
L:chkAmdBloat	Usługi i autostart AMD — wyłącz
L:chkIntelBloat	Dodatkowe usługi Intel Graphics — wyłącz
L:lblUiScale	Skala interfejsu
L:ttlShader	PAMIĘĆ PODRĘCZNA SHADERÓW
