L:lblSubtitle	Optimización y control de Windows — PcFixPro Italia
L:tabPerf	Rendimiento
L:tabPrivacy	Privacidad
L:tabUi	Interfaz
L:tabNet	Red
L:tabStorage	Almacenamiento
L:ttlLatency	LATENCIA Y PLANIFICACIÓN
L:chkMMCSS	MMCSS — respuesta en juegos y audio
L:chkPriority	Planificación de CPU — prioridad al primer plano (0x26)
L:chkKernelMem	Memoria del kernel — sin paginación del ejecutivo
L:chkKernelDpc	Kernel y latencia DPC
L:chkTimer	Temporizador del sistema — máxima precisión
L:chkPowerThrottling	Power Throttling — desactivar
L:chkUSBSuspend	Suspensión selectiva USB — desactivar
L:chkNtfsPerf	NTFS — sin fecha de último acceso, caché amplia
L:ttlRam	MEMORIA
L:chkRamTweak	Umbral de división de SvcHost (según la RAM)
L:lblRamInstalled	RAM instalada:
L:lblRamHint	Detectada automáticamente al iniciar; se puede cambiar a mano.
L:ttlGraphics	GRÁFICOS Y JUEGOS
L:chkGameMode	Modo de juego — activar
L:chkFSO	Optimizaciones de pantalla completa (FSO) — desactivar
L:chkGameDVR	Game DVR y grabación de Xbox — desactivar
L:chkHAGS	Programación de GPU acelerada por hardware — activar
L:chkVisualFX	Efectos visuales — ajustar para el mejor rendimiento
L:chkApplyMPO	Aplicar el ajuste Multiplane Overlay (MPO)
L:mpoOn	Activado (predeterminado de Windows)
L:mpoOff	Desactivado (corrige tirones y parpadeos)
L:mpoCompat	Activado, compatible (2 planos)
L:ttlRisky	AVANZADO — REDUCEN LA SEGURIDAD
L:lblRiskyHint	Excluidos de «Seleccionar todo». Actívalos solo si conoces las consecuencias.
L:chkVBS	VBS / Integridad de memoria — desactivar
L:chkMitigations	Mitigaciones de exploits del sistema — desactivar
L:tabPower	Energía
L:tabGpu	Tarjeta gráfica
L:ttlPlans	PLANES DE ENERGÍA
L:btnRefreshPlans	Actualizar
L:btnRemoveTestPlans	Quitar planes de prueba
L:ttlSleep	AHORRO Y SUSPENSIÓN
L:lblSleepHint	Se aplican con el botón Aplicar.
L:ttlPlanWarn	ANTES DE PROBAR
L:lblPlanWarn	Los planes de «Para probar» son de terceros. Prueba uno cada vez y vuelve a Equilibrado si el equipo se vuelve inestable.
L:ttlGpuDetected	TARJETA DETECTADA
L:btnDetectGpu	Actualizar
L:lblGpuHint	Aquí se aligera el controlador ya instalado: telemetría, servicios extra e inicios automáticos.
L:ttlGpuCommon	AJUSTES COMUNES
L:chkGpuTdr	TDR — tiempo de espera del controlador a 10 s
L:chkGpuMsi	Interrupciones MSI para la tarjeta gráfica — activar
L:lblNvidiaHint	Se omite si la tarjeta no es NVIDIA.
L:chkNvTelemetry	Telemetría de NVIDIA — desactivar
L:chkNvGfe	GeForce Experience en segundo plano — desactivar
L:chkNvPerfMode	Gestión de energía de la GPU — máximo rendimiento
L:chkNvUpdates	Comprobación de actualizaciones de NVIDIA — desactivar
L:lblAmdHint	Se omite si la tarjeta no es AMD.
L:chkAmdUx	Programa de experiencia de usuario de AMD — desactivar
L:chkAmdBloat	Servicios e inicios automáticos de AMD — desactivar
L:chkIntelBloat	Servicios extra de Intel Graphics — desactivar
L:lblUiScale	Escala de la interfaz
L:ttlShader	CACHÉ DE SHADERS
L:lblShaderHint	Los shaders ya compilados por los juegos. Vaciarla libera espacio y corrige artefactos tras cambiar de controlador. El primer inicio de cada juego será más lento, luego vuelve a la normalidad.
L:btnShaderScan	Calcular espacio ocupado
L:btnShaderClear	Vaciar caché de shaders
L:ttlStart	MENÚ INICIO
L:chkStartMorePins	Más espacio para anclados, menos para recomendaciones
L:chkStartHideRec	Sección «Recomendado» — ocultar
L:chkStartNoWeb	Sitios web recomendados en Inicio — quitar
L:chkStartNoAccount	Avisos de la cuenta en Inicio — quitar
L:ttlFeat	FUNCIONES OCULTAS
L:lblFeatHint	Activa o desactiva una función de Windows por su número, como hace ViVeTool. Los números cambian en cada compilación: tómalos de una fuente que coincida con la tuya.
L:featOn	Activar
L:featOff	Desactivar
L:featReset	Volver al predeterminado
L:lblFeatId	Número de la función
L:btnFeatApply	Aplicar
L:btnFeatList	Listar cambios activos
L:chkFastStartup	Inicio rápido — desactivar
L:chkHibernation	Hibernación — desactivar (libera espacio en C:)
L:chkS0Sleep	Conexión de red en espera moderna — desactivar
L:chkS3Sleep	Suspensión clásica S3 — forzar
L:ttlTelemetry	TELEMETRÍA Y SEGUIMIENTO
L:chkTelemetry	Telemetría y DiagTrack — desactivar
L:chkTelemetryTasks	Tareas programadas de telemetría — desactivar
L:chkActivityHistory	Historial de actividad — desactivar
L:chkLocationTracking	Seguimiento de ubicación — desactivar
L:chkAdvertisingID	Id. de publicidad — desactivar
L:chkTailoredExp	Experiencias personalizadas — desactivar
L:chkFeedback	Solicitudes de comentarios — desactivar
L:chkErrorReporting	Informe de errores de Windows — desactivar
L:chkInkingTyping	Personalización de escritura y entrada manuscrita — desactivar
L:chkWiFiSense	Sensor de Wi-Fi — desactivar
L:ttlContent	SUGERENCIAS Y CONTENIDO
L:chkConsumerFeatures	Aplicaciones sugeridas e instalación automática — bloquear
L:chkStoreSearch	Sugerencias de búsqueda de Microsoft Store — desactivar
L:chkSuggestedContent	Contenido sugerido en Configuración — desactivar
L:chkLockScreenAds	Spotlight y anuncios en la pantalla de bloqueo — desactivar
L:chkStartBing	Búsqueda de Bing en el menú Inicio — desactivar
L:chkStartRecs	Recomendaciones del menú Inicio — desactivar
L:chkStartTracking	Aplicaciones más usadas y documentos recientes — no registrar
L:chkFolderDiscovery	Detección del tipo de carpeta en el Explorador — desactivar
L:ttlMsApps	APLICACIONES DE MICROSOFT
L:chkWindowsAI	Copilot, Recall e IA de Windows — desactivar
L:chkEdgeDebloat	Microsoft Edge — aligerar
L:chkOneDriveRemove	OneDrive — desactivar sincronización
L:chkOutlookNew	Cambio automático al nuevo Outlook — bloquear
L:ttlServices	SERVICIOS Y COMPONENTES
L:chkServicesManual	Servicios no esenciales — en Manual
L:chkDeliveryOpt	Optimización de distribución — desactivar
L:chkBitLocker	Cifrado automático BitLocker — desactivar
L:chkWPBT	Tabla binaria del fabricante (WPBT) — desactivar
L:chkBackgroundApps	Aplicaciones en segundo plano — desactivar
L:chkTeredo	Túnel Teredo — desactivar
L:chkRDPWarnings	Avisos de archivos RDP sin firmar — desactivar
L:chkRemoteAssistance	Asistencia remota — desactivar
L:chkCompanionApps	Aplicaciones complementarias de dispositivos — bloquear
L:chkDriverUpdates	Controladores desde Windows Update — bloquear
L:ttlSystemUi	SISTEMA Y EXPLORADOR DE ARCHIVOS
L:chkDarkTheme	Tema oscuro de Windows — activar
L:chkFileExt	Mostrar extensiones de archivo
L:chkHiddenFiles	Mostrar archivos ocultos
L:chkLongPaths	Rutas largas de más de 260 caracteres — activar
L:chkClassicMenu	Menú contextual clásico (Windows 11)
L:chkExplorerThisPC	El Explorador se abre en «Este equipo»
L:chkRemove3D	Quitar «Objetos 3D» de Este equipo
L:chkRecycleConfirm	Pedir confirmación antes de eliminar
L:chkMenuDelay	Retraso de los menús — a cero
L:ttlTaskbar	BARRA DE TAREAS E INICIO
L:chkTaskbarCenter	Iconos de la barra centrados
L:chkTaskbarSearch	Icono de búsqueda — ocultar
L:chkTaskbarTaskView	Icono Vista de tareas — ocultar
L:chkTaskbarWidgets	Widgets y noticias — ocultar
L:chkTaskbarChat	Icono Chat / Teams — ocultar
L:chkTaskbarEndTask	«Finalizar tarea» en el menú de la barra — activar
L:chkBatteryPct	Porcentaje de batería en la bandeja del sistema
L:chkSettingsHome	Página de inicio de Configuración — ocultar
L:chkWindowSnapping	Acoplar ventanas — activar
L:ttlInput	ENTRADA Y ACCESIBILIDAD
L:chkMouseAccel	Aceleración del ratón — desactivar
L:chkNumLock	Bloq Num al iniciar — activar
L:chkStickyKeys	Aviso de Teclas especiales — desactivar
L:chkScrollbars	Barras de desplazamiento siempre visibles
L:ttlLock	INICIO DE SESIÓN Y DIAGNÓSTICO
L:chkLockScreen	Pantalla de bloqueo — desactivar
L:chkLogonBlur	Desenfoque en el inicio de sesión — desactivar
L:chkBSODVerbose	Pantalla azul detallada
L:chkLogonVerbose	Mensajes detallados al iniciar sesión
L:chkApplyNetwork	Aplicar los ajustes de red al pulsar «Aplicar»
L:lblNetHint	Sin esta casilla la pestaña Red es solo informativa y no se cambia nada.
L:btnFlushDns	Vaciar caché DNS
L:ttlTcpProfile	PERFIL TCP
L:radTcpOptimal	Óptimo (juegos)
L:radTcpDefault	Predeterminado de Windows
L:radTcpCurrent	Perfil actual
L:radTcpCustom	Personalizado
L:lblAutoTuning	Ajuste automático de la ventana TCP:
L:lblHeuristics	Heurística de escalado:
L:lblCongestion	Control de congestión:
L:lblTtl	Tiempo de vida (TTL):
L:lblEcn	Capacidad ECN:
L:lblTimestamps	Marcas de tiempo TCP (RFC 1323):
L:chkApplyDns	Cambiar los servidores DNS en los adaptadores activos
L:dnsAuto	Automático desde el router (DHCP)
L:ttlNetAdv	RED AVANZADA
L:lblThrottling	Índice de limitación de red:
L:lblResponsiveness	Capacidad de respuesta del sistema:
L:lblNagle	Algoritmo de Nagle:
L:lblHostPriority	Prioridad de resolución de nombres:
L:lblPortAlloc	Asignación de puertos dinámicos:
L:lblMaxConn	Conexiones máximas por servidor:
L:chkNetPowerSave	Ahorro de energía del adaptador de red — desactivar
